EoSType = Tabulated
Nrho = 600    NYe = 1     NT = 1
RhoMin = 1e-09  RhoMax = 0.01
HeatCapacityE = 1
GammaTh = 2
Kappa = 1
RhoSpacing = Log
    1.57940636422747e-03    1.38773826035349e+00    2.62139412738900e-02
    1.58815010286069e-03    1.38791882984854e+00    2.62874297500455e-02
    1.59695262269705e-03    1.38809949206894e+00    2.63612210399340e-02
    1.60581438808230e-03    1.38828024684584e+00    2.64353169310338e-02
    1.61473586751417e-03    1.38846109400215e+00    2.65097192265350e-02
    1.62371753368467e-03    1.38864203335234e+00    2.65844297455522e-02
    1.63275986352299e-03    1.38882306470221e+00    2.66594503233397e-02
    1.64186333823882e-03    1.38900418784867e+00    2.67347828115106e-02
    1.65102844336636e-03    1.38918540257956e+00    2.68104290782585e-02
    1.66025566880863e-03    1.38936670867337e+00    2.68863910085833e-02
    1.66954550888257e-03    1.38954810589907e+00    2.69626705045194e-02
    1.67889846236452e-03    1.38972959401584e+00    2.70392694853682e-02
    1.68831503253638e-03    1.38991117277291e+00    2.71161898879327e-02
    1.69779572723221e-03    1.39009284190928e+00    2.71934336667569e-02
    1.70734105888556e-03    1.39027460115349e+00    2.72710027943678e-02
    1.71695154457725e-03    1.39045645022345e+00    2.73488992615204e-02
    1.72662770608381e-03    1.39063838882617e+00    2.74271250774472e-02
    1.73637006992655e-03    1.39082041665754e+00    2.75056822701100e-02
    1.74617916742110e-03    1.39100253340211e+00    2.75845728864563e-02
    1.75605553472783e-03    1.39118473873286e+00    2.76637989926782e-02
    1.76599971290255e-03    1.39136703231096e+00    2.77433626744748e-02
    1.77601224794818e-03    1.39154941378559e+00    2.78232660373191e-02
    1.78609369086684e-03    1.39173188279364e+00    2.79035112067269e-02
    1.79624459771270e-03    1.39191443895957e+00    2.79841003285303e-02
    1.80646552964544e-03    1.39209708189512e+00    2.80650355691543e-02
    1.81675705298441e-03    1.39227981119911e+00    2.81463191158964e-02
    1.82711973926347e-03    1.39246262645724e+00    2.82279531772106e-02
    1.83755416528652e-03    1.39264552724184e+00    2.83099399829939e-02
    1.84806091318371e-03    1.39282851311167e+00    2.83922817848768e-02
    1.85864057046835e-03    1.39301158361171e+00    2.84749808565170e-02
    1.86929373009460e-03    1.39319473827295e+00    2.85580394938967e-02
    1.88002099051582e-03    1.39337797661216e+00    2.86414600156228e-02
    1.89082295574368e-03    1.39356129813172e+00    2.87252447632311e-02
    1.90170023540801e-03    1.39374470231939e+00    2.88093961014933e-02
    1.91265344481743e-03    1.39392818864814e+00    2.88939164187274e-02
    1.92368320502072e-03    1.39411175657593e+00    2.89788081271114e-02
    1.93479014286894e-03    1.39429540554556e+00    2.90640736630004e-02
    1.94597489107842e-03    1.39447913498445e+00    2.91497154872465e-02
    1.95723808829445e-03    1.39466294430451e+00    2.92357360855219e-02
    1.96858037915580e-03    1.39484683290192e+00    2.93221379686453e-02
    1.98000241436012e-03    1.39503080015702e+00    2.94089236729110e-02
    1.99150485073005e-03    1.39521484543412e+00    2.94960957604211e-02
