#  Band    State   TwistIndex BandIndex Energy      Kx      Ky      Kz      K1      K2      K3    KmK 
       0        0        0        0    -0.464227 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
       1        1        0        1    -0.452404 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
       2        2       72        0    -0.410371  0.0000  0.3900  0.0000 -0.0000  0.2500 -0.0000      2
       3        4     1728        0    -0.410371  0.3377  0.1950 -0.0000  0.2500 -0.0000 -0.0000      2
       4        6     1752        0    -0.410371  0.3377 -0.1950 -0.0000  0.2500 -0.2500 -0.0000      2
       5        8       72        1    -0.399643  0.0000  0.3900  0.0000 -0.0000  0.2500 -0.0000      2
       6       10     1728        1    -0.399643  0.3377  0.1950 -0.0000  0.2500 -0.0000 -0.0000      2
       7       12     1752        1    -0.399643  0.3377 -0.1950 -0.0000  0.2500 -0.2500 -0.0000      2
       8       14     1224        0    -0.306434  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      2
       9       16     1776        0    -0.306434  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      2
      10       18     1800        0    -0.306434  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      2
      11       20     1224        1    -0.297805  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      2
      12       22     1776        1    -0.297805  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      2
      13       24     1800        1    -0.297805  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      2
      14       26       48        0    -0.267242  0.0000  0.7800  0.0000 -0.0000  0.5000 -0.0000      1
      15       27     1152        0    -0.267242  0.6755  0.3900 -0.0000  0.5000 -0.0000 -0.0000      1
      16       28     1200        0    -0.267242  0.6755  1.1699  0.0000  0.5000  0.5000 -0.0000      1
      17       29       48        1    -0.262927  0.0000  0.7800  0.0000 -0.0000  0.5000 -0.0000      1
      18       30     1152        1    -0.262927  0.6755  0.3900 -0.0000  0.5000 -0.0000 -0.0000      1
      19       31     1200        1    -0.262927  0.6755  1.1699  0.0000  0.5000  0.5000 -0.0000      1
      20       32       48        2    -0.234603  0.0000  0.7800  0.0000 -0.0000  0.5000 -0.0000      1
      21       33     1152        2    -0.234603  0.6755  0.3900 -0.0000  0.5000 -0.0000 -0.0000      1
      22       34     1200        2    -0.234603  0.6755  1.1699  0.0000  0.5000  0.5000 -0.0000      1
      23       35       48        3    -0.231316  0.0000  0.7800  0.0000 -0.0000  0.5000 -0.0000      1
      24       36     1152        3    -0.231316  0.6755  0.3900 -0.0000  0.5000 -0.0000 -0.0000      1
      25       37     1200        3    -0.231316  0.6755  1.1699  0.0000  0.5000  0.5000 -0.0000      1
      26       38     1224        2    -0.131505  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      2
      27       40     1776        2    -0.131505  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      2
      28       42     1800        2    -0.131505  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      2
      29       44     1224        3    -0.128606  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      2
      30       46     1776        3    -0.128606  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      2
      31       48     1800        3    -0.128606  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      2
      32       50     1224        4    -0.078855  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      2
      33       52     1776        4    -0.078855  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      2
      34       54     1800        4    -0.078855  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      2
      35       56     1224        5    -0.076642  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      2
      36       58     1776        5    -0.076642  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      2
      37       60     1800        5    -0.076642  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      2
      38       62        0        2    -0.066025 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
