#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.6364605298e+02    1.3225100726e+05   -6.3662262307e+02    2.7297657009e+02   -1.1582624336e+01   -2.7082543567e+02   -3.9426507197e+02    4.0050508906e+01    5.7600000000e+05    7.7901645615e-01    3.1783997260e-01
         1   -3.6391107138e+02    1.3244394774e+05   -6.3871664915e+02    2.7480557777e+02   -1.1422041306e+01   -2.7082543567e+02   -3.9757676087e+02    4.1107588690e+01    5.7600000000e+05    7.9522418266e-01    3.1791431342e-01
         2   -3.6393209441e+02    1.3245925313e+05   -6.3902942189e+02    2.7509732748e+02   -1.1409553780e+01   -2.7082543567e+02   -3.9799055315e+02    4.1196120710e+01    5.7600000000e+05    7.4173706763e-01    3.1786115180e-01
         3   -3.6391907839e+02    1.3244973300e+05   -6.3896900703e+02    2.7504992865e+02   -1.1368041919e+01   -2.7082543567e+02   -3.9793552659e+02    4.1159997143e+01    5.7600000000e+05    7.3292302010e-01    3.1799808757e-01
         4   -3.6392739255e+02    1.3245583614e+05   -6.3902914757e+02    2.7510175502e+02   -1.1400669982e+01   -2.7082543567e+02   -3.9796873199e+02    4.1165690071e+01    5.7600000000e+05    7.3039886146e-01    3.1795791965e-01
         5   -3.6392394594e+02    1.3245338078e+05   -6.3908813201e+02    2.7516418607e+02   -1.1362518430e+01   -2.7082543567e+02   -3.9810813658e+02    4.1207958672e+01    5.7600000000e+05    7.2894775512e-01    3.1790208605e-01
         6   -3.6393799341e+02    1.3246366198e+05   -6.3903768195e+02    2.7509968854e+02   -1.1376250481e+01   -2.7082543567e+02   -3.9797243803e+02    4.1136442228e+01    5.7600000000e+05    7.2786961809e-01    3.1791160075e-01
         7   -3.6394231193e+02    1.3246668756e+05   -6.3896181031e+02    2.7501949838e+02   -1.1400900405e+01   -2.7082543567e+02   -3.9791758489e+02    4.1182110648e+01    5.7600000000e+05    7.2711701702e-01    3.1796605089e-01
         8   -3.6392679226e+02    1.3245544938e+05   -6.3908503298e+02    2.7515824072e+02   -1.1377360753e+01   -2.7082543567e+02   -3.9811316423e+02    4.1230927678e+01    5.7600000000e+05    7.2645229377e-01    3.1795152452e-01
         9   -3.6394260983e+02    1.3246694487e+05   -6.3901839157e+02    2.7507578173e+02   -1.1367740815e+01   -2.7082543567e+02   -3.9797314469e+02    4.1147929611e+01    5.7600000000e+05    7.2578529018e-01    3.1794063992e-01
        10   -3.6394007614e+02    1.3246548299e+05   -6.3900000963e+02    2.7505993349e+02   -1.1422168822e+01   -2.7082543567e+02   -3.9798021228e+02    4.1227807143e+01    5.7600000000e+05    7.2555815399e-01    3.1792369927e-01
        11   -3.6393999715e+02    1.3246520766e+05   -6.3909569429e+02    2.7515569713e+02   -1.1402379758e+01   -2.7082543567e+02   -3.9811994679e+02    4.1252067934e+01    5.7600000000e+05    7.2611649784e-01    3.1795251465e-01
        12   -3.6392871997e+02    1.3245674363e+05   -6.3896796497e+02    2.7503924500e+02   -1.1401840032e+01   -2.7082543567e+02   -3.9790139115e+02    4.1160701881e+01    5.7600000000e+05    7.2616715237e-01    3.1794312880e-01
        13   -3.6391585008e+02    1.3244748369e+05   -6.3912322354e+02    2.7520737346e+02   -1.1364305334e+01   -2.7082543567e+02   -3.9814930399e+02    4.1215821450e+01    5.7600000000e+05    7.2582101156e-01    3.1777310520e-01
        14   -3.6394208506e+02    1.3246651477e+05   -6.3910183121e+02    2.7515974614e+02   -1.1449479129e+01   -2.7082543567e+02   -3.9799484336e+02    4.1167926951e+01    5.7600000000e+05    7.2538162419e-01    3.1788280572e-01
        15   -3.6393691250e+02    1.3246270862e+05   -6.3904857436e+02    2.7511166186e+02   -1.1428285989e+01   -2.7082543567e+02   -3.9803543299e+02    4.1240580280e+01    5.7600000000e+05    7.2562050149e-01    3.1794120280e-01
