# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.6412616174e+02    1.2756900383e+01    2.5957679925e+06    2.5920000000e+06    0.0000000000e+00   -3.6395581351e+02    9.8483873689e-01    9.7621643519e-01
         1   -3.6423108857e+02    1.2767405619e+01    2.9871382297e+06    2.5920000000e+06    0.0000000000e+00   -3.5704850742e+02    9.8481866949e-01    9.9369367284e-01
         2   -3.6429702157e+02    1.2793165026e+01    2.9800515854e+06    2.9871930000e+06    7.3125000000e+00   -3.6438541546e+02    9.8481729286e-01    9.7478904108e-01
         3   -3.6435476826e+02    1.2803954232e+01    2.9724133831e+06    2.9796320000e+06    4.5275000000e+00   -3.6444881412e+02    9.8482840606e-01    9.7486635934e-01
         4   -3.6440188392e+02    1.2818764141e+01    2.9649148793e+06    2.9723020000e+06    4.4133333333e+00   -3.6450409774e+02    9.8481848216e-01    9.7479091963e-01
         5   -3.6444165184e+02    1.2804333193e+01    2.9573685472e+06    2.9648050000e+06    4.3858333333e+00   -3.6454868793e+02    9.8480517160e-01    9.7458517508e-01
         6   -3.6447715891e+02    1.2788129304e+01    2.9494315697e+06    2.9567830000e+06    4.5633333333e+00   -3.6458574643e+02    9.8481050037e-01    9.7473977630e-01
         7   -3.6450771931e+02    1.2798178045e+01    2.9417817816e+06    2.9491130000e+06    4.3658333333e+00   -3.6461865610e+02    9.8479958703e-01    9.7480903580e-01
         8   -3.6453985022e+02    1.2791514201e+01    2.9350372156e+06    2.9421710000e+06    4.2808333333e+00   -3.6464685980e+02    9.8479644640e-01    9.7484238680e-01
         9   -3.6456410729e+02    1.2798174617e+01    2.9278432183e+06    2.9350690000e+06    4.4100000000e+00   -3.6467657392e+02    9.8478325346e-01    9.7478934907e-01
        10   -3.6459177921e+02    1.2822536943e+01    2.9210394926e+06    2.9279800000e+06    4.2158333333e+00   -3.6469841280e+02    9.8479696304e-01    9.7479456827e-01
        11   -3.6461486144e+02    1.2841444341e+01    2.9140954597e+06    2.9210160000e+06    4.5158333333e+00   -3.6472370345e+02    9.8479234234e-01    9.7480123354e-01
        12   -3.6463360220e+02    1.2806086910e+01    2.9074026895e+06    2.9142930000e+06    4.2575000000e+00   -3.6474448143e+02    9.8478224855e-01    9.7502310166e-01
        13   -3.6464931191e+02    1.2855607528e+01    2.9012396355e+06    2.9081170000e+06    4.3200000000e+00   -3.6476110074e+02    9.8477586151e-01    9.7473382261e-01
        14   -3.6466592259e+02    1.2795283017e+01    2.8940623458e+06    2.9007530000e+06    4.1875000000e+00   -3.6477427501e+02    9.8478247294e-01    9.7480998899e-01
        15   -3.6468233118e+02    1.2806358626e+01    2.8879037265e+06    2.8944150000e+06    4.2166666667e+00   -3.6478869835e+02    9.8477773379e-01    9.7491479280e-01
        16   -3.6469890144e+02    1.2813187490e+01    2.8814513903e+06    2.8878460000e+06    4.5066666667e+00   -3.6480283481e+02    9.8478155117e-01    9.7501251798e-01
        17   -3.6471097908e+02    1.2782680853e+01    2.8753787247e+06    2.8817840000e+06    4.4450000000e+00   -3.6481730372e+02    9.8477894891e-01    9.7493739989e-01
        18   -3.6472288513e+02    1.2822259174e+01    2.8693609329e+06    2.8755980000e+06    4.3591666667e+00   -3.6482723248e+02    9.8477768903e-01    9.7492417229e-01
